method,family,models,ranks_signal_above_noise,redundant_copy_credit_share,nl_faithful
treeshap,attribution,5 tree models,5/5 yes,0.34 (avg./4 models),5/5 yes
kernelshap,attribution,Logistic/RF/XGBoost/EBM/SVM,5/5 yes,0.44 (avg./5 models),5/5 yes
lime,attribution,Logistic/RF/XGBoost/EBM/SVM,5/5 yes,0.48 (avg./5 models),5/5 yes
permutation,attribution,Logistic/RF/XGBoost/EBM/SVM,5/5 yes,0.53 (avg./3 models),5/5 yes
integrated_gradients,gradient,GRU/LSTM/CNN1d/TCN/Transformer,5/5 yes,0.52 (avg./5 models),5/5 yes
rise,attribution (adapted),XGBoost,yes,0.37,yes
ebm_intrinsic,intrinsic,EBM,yes,0.47,yes
gam_aggregation,global aggregation,XGBoost (TreeSHAP-derived),yes,0.42,yes
muse_brcg,rule surrogate,XGBoost,yes,--,yes
lrp,gradient/propagation,"MLP (GRU: N/A, no supported layers)",yes,0.44,yes
guided_backprop,gradient/propagation,MLP,yes,0.49,yes
deconvnet,gradient/propagation,MLP,yes,0.90,yes
gnnexplainer,graph,GNN,yes,0.49,yes
anchors,rule/example,XGBoost,precision=0.92,coverage=0.035,--
counterfactual,rule/example,XGBoost,validity=1.00,sparsity=1.27,--
cem,rule/example,XGBoost,PP size=0.13,--,--
tcav (high_attention),concept,GRU,TCAV=1.00,CAV acc=0.88,--
tcav (positive_sentiment),concept,GRU,TCAV=1.00,CAV acc=0.78,--
gradcam,CAM (vision-native),CNN1d only,yes,0.55,--
gradcam_pp,CAM (vision-native),CNN1d only,yes,0.55,--
score_cam,CAM (vision-native),CNN1d only,yes,0.55,--
sae,mechanistic,Transformer,253/256 interp.,thr.\ $|r|{>}$0.3,--
acdc (ablation),mechanistic,Transformer,0 notable/10,z{>}2.0,--
